policy_number,bank_name,routing_number,account_number,account_type,effective_date,org_code
LNL0000030,BELL PLC,153453568,5361194461,CHECKING,2007-03-15,lnl
LNL0000031,HALL GROUP,252818977,5959234771,SAVINGS,2005-04-06,lnl
LNL0000032,OBRIEN-TAPIA,561200446,1188724772,SAVINGS,2022-07-28,lnl
LNL0000033,LEE INC,986552438,1759260484,CHECKING,2005-01-03,lnl
LNL0000034,WARD-MCDANIEL,171441332,4455397225,SAVINGS,2022-04-21,lnl
LNL0000035,CARLSON-MARTIN,965923558,7463484137,SAVINGS,2022-03-16,lnl
LNL0000036,"DUNN, DELEON AND FORD",165456305,1945467448,SAVINGS,2021-11-24,lnl
LNL0000037,CHANG PLC,811707673,4997043790,CHECKING,2025-03-11,lnl
LNL0000038,"HOOD, BYRD AND HEATH",493569814,1834075606,CHECKING,2005-12-03,lnl
LNL0000039,"HAMILTON, WONG AND BISHOP",499939806,9529167600,CHECKING,2012-08-18,lnl
LNL0000040,LEE-DANIELS,951176964,6832205166,CHECKING,2015-10-08,lnl
LNL0000041,RUSSELL AND SONS,290418639,3011663719,CHECKING,2025-12-17,lnl
LNL0000042,OLIVER INC,624290487,8314675661,SAVINGS,2005-01-29,lnl
LNL0000043,WHITE-CASTRO,395031813,9602077331,SAVINGS,2012-03-05,lnl
LNL0000044,DICKSON-SALINAS,879623128,3836889107,SAVINGS,2023-09-25,lnl
LNL0000045,KHAN LLC,329035962,5711298649,SAVINGS,2007-07-03,lnl
LNL0000046,"MCMAHON, WILSON AND PIERCE",576702588,4506241115,CHECKING,2006-03-17,lnl
LNL0000047,"JACKSON, BRYANT AND SOLOMON",272605990,2063164933,SAVINGS,2024-07-07,lnl
LNL0000048,"DURHAM, BROWN AND CARROLL",119146746,6863359233,SAVINGS,2009-01-04,lnl
LNL0000049,SWANSON-JOHNSON,823033125,6326508575,CHECKING,2011-11-06,lnl
LNL0000050,"MARTIN, KRUEGER AND BENNETT",928288531,5995806332,SAVINGS,2010-07-19,lnl
LNL0000051,"GOODWIN, GIBSON AND DOUGHERTY",858450477,2509177333,CHECKING,2018-06-02,lnl
LNL0000052,"BRADSHAW, LOPEZ AND MOORE",267704759,8202338513,CHECKING,2013-08-16,lnl
LNL0000053,WILSON-NEAL,756783811,7552755168,SAVINGS,2016-06-06,lnl
LNL0000054,"PHILLIPS, RODRIGUEZ AND GATES",540056189,8988946717,SAVINGS,2021-11-18,lnl
LNL0000055,SLOAN-WILCOX,108097940,6721554819,SAVINGS,2009-08-09,lnl
LNL0000056,FARLEY AND SONS,451528901,7636382612,CHECKING,2009-06-10,lnl
LNL0000057,BROWN-MOODY,848935831,1964074365,SAVINGS,2006-12-19,lnl
LNL0000058,MEYER LTD,916392286,1088267932,SAVINGS,2022-06-24,lnl
LNL0000059,WARNER-WILSON,520102535,4600438928,SAVINGS,2015-07-11,lnl
LNL0000060,"MEYER, ARNOLD AND BRAY",441503766,4113719263,SAVINGS,2019-10-16,lnl
LNL0000061,"CHAN, BRANDT AND WILLIAMS",790192031,1566187547,SAVINGS,2017-05-15,lnl
LNL0000062,"SMITH, BROOKS AND HARMON",359541512,5951012952,SAVINGS,2014-05-04,lnl
LNL0000063,SOSA-CARTER,744496903,2987016468,CHECKING,2009-02-05,lnl
LNL0000064,KENNEDY LTD,546618999,4005143409,SAVINGS,2010-12-10,lnl
LNL0000065,"MILLER, ERICKSON AND BISHOP",958793274,6949489037,SAVINGS,2017-01-06,lnl
LNL0000066,"TURNER, MORRIS AND DAVIS",209928365,3299020373,CHECKING,2011-01-29,lnl
LNL0000067,YOUNG LLC,112603096,7658250922,CHECKING,2015-06-04,lnl
LNL0000068,VELAZQUEZ INC,827782338,9512836077,CHECKING,2022-10-14,lnl
LNL0000069,WALLACE GROUP,272989023,6399429697,SAVINGS,2006-07-25,lnl
LNL0000070,"SCHWARTZ, MCDANIEL AND MATHEWS",445047267,1145769455,CHECKING,2018-02-18,lnl
LNL0000071,"FREEMAN, RODRIGUEZ AND STEWART",443703940,1393790063,SAVINGS,2009-03-02,lnl
LNL0000072,"BLAKE, FRANCIS AND RODRIGUEZ",468171387,6238900525,SAVINGS,2021-09-30,lnl
LNL0000073,AVILA-BROWN,725346676,3262107003,SAVINGS,2024-02-08,lnl
LNL0000074,MORGAN LTD,783375716,2999366710,SAVINGS,2009-12-24,lnl
LNL0000075,"BLACKBURN, HOLLOWAY AND WALKER",254293793,2245748037,CHECKING,2011-03-30,lnl
LNL0000076,HENRY-STEVENSON,515364459,8919574635,SAVINGS,2021-11-08,lnl
LNL0000077,WALTERS PLC,216729475,9684506474,CHECKING,2013-07-01,lnl
LNL0000078,"ELLISON, SUTTON AND GRAHAM",470408385,3738189086,CHECKING,2023-12-23,lnl
LNL0000079,IBARRA-BENNETT,122071652,1129512552,SAVINGS,2005-07-18,lnl
LNL0000080,"DENNIS, MITCHELL AND RIVERA",983661780,1546515696,SAVINGS,2025-08-14,lnl
LNL0000081,"SMITH, LUTZ AND POOLE",527997174,6996192157,SAVINGS,2015-03-17,lnl
LNL0000082,"LEWIS, NEWTON AND BRYANT",216576647,6434511624,CHECKING,2007-04-23,lnl
LNL0000083,BARBER-ADAMS,799523573,5476756824,CHECKING,2025-02-09,lnl
LNL0000084,HUMPHREY AND SONS,438465503,5080882775,SAVINGS,2011-12-07,lnl
LNL0000085,"ALLEN, ORTIZ AND WALSH",337613234,8230086360,CHECKING,2008-12-16,lnl
LNL0000086,MATTHEWS LLC,232216630,1459626645,SAVINGS,2020-06-17,lnl
LNL0000087,"YOUNG, NUNEZ AND ANTHONY",199786586,1755970047,SAVINGS,2006-07-16,lnl
LNL0000088,"JOHNSON, PHILLIPS AND GONZALEZ",212391703,5708249903,CHECKING,2010-07-17,lnl
LNL0000089,PERRY PLC,916338143,5958716646,SAVINGS,2014-09-07,lnl
LNL0000090,MARTIN-PONCE,471779098,7792916457,SAVINGS,2014-02-25,lnl
LNL0000091,NICHOLS GROUP,487531167,8439914049,CHECKING,2006-01-13,lnl
LNL0000092,"SMITH, SHAFFER AND WHITE",946145710,3234861285,SAVINGS,2024-09-02,lnl
LNL0000093,HUGHES-WILLIAMS,392156771,1094129344,SAVINGS,2014-03-16,lnl
LNL0000094,MICHAEL-LUNA,376414250,7264372220,SAVINGS,2013-09-17,lnl
LNL0000095,"WHITE, MORRIS AND CAREY",634078154,3145374612,CHECKING,2019-10-08,lnl
LNL0000096,COOK AND SONS,617587885,2484262017,CHECKING,2005-09-19,lnl
LNL0000097,WELLS-BAILEY,390587099,1570313063,CHECKING,2012-01-27,lnl
LNL0000098,"HERRERA, POPE AND PUGH",349358280,8253233093,CHECKING,2013-04-14,lnl
LNL0000099,KING AND SONS,552152150,7249988922,SAVINGS,2023-06-24,lnl
LNL0000100,GUZMAN PLC,356572898,3366451575,SAVINGS,2005-10-24,lnl
LNL0000101,LOPEZ GROUP,305556297,8071439857,SAVINGS,2005-10-26,lnl
LNL0000102,"FOX, MARTINEZ AND SNYDER",151975665,5572404254,CHECKING,2005-10-05,lnl
LNL0000103,FREDERICK PLC,289068018,2872357850,SAVINGS,2008-09-02,lnl
LNL0000104,"BECKER, SANFORD AND JONES",246089658,3351819384,SAVINGS,2025-03-05,lnl
LNL0000105,DELGADO-HARPER,794411431,9872640868,SAVINGS,2010-02-21,lnl
LNL0000106,CASEY-MILLER,981452355,8338284824,CHECKING,2011-04-07,lnl
LNL0000107,VEGA-MENDOZA,494469507,9876331429,SAVINGS,2007-02-28,lnl
LNL0000108,HERRING-WALKER,518171924,7694939796,SAVINGS,2010-02-01,lnl
LNL0000109,LAWRENCE PLC,167965701,1409324005,SAVINGS,2016-09-11,lnl
LNL0000110,"BOWERS, HOBBS AND THOMPSON",369798727,7485095000,SAVINGS,2024-07-07,lnl
LNL0000111,PATTERSON-BOWERS,999977638,9479972913,SAVINGS,2018-11-02,lnl
LNL0000112,OLIVER INC,828231026,1312186868,SAVINGS,2020-06-04,lnl
LNL0000113,REED GROUP,349604938,3041206113,SAVINGS,2007-03-07,lnl
LNL0000114,SPARKS-SCHMIDT,204763553,2363430736,CHECKING,2025-04-06,lnl
LNL0000115,MARTINEZ LTD,836626517,6255907787,CHECKING,2016-06-04,lnl
LNL0000116,"YOUNG, PHILLIPS AND SCOTT",326956992,3614031213,CHECKING,2022-02-13,lnl
LNL0000117,"EDWARDS, GONZALES AND MONROE",835423920,4522961887,CHECKING,2024-12-19,lnl
LNL0000118,RICHARDSON-ALVAREZ,607019424,4129243965,CHECKING,2005-11-22,lnl
LNL0000119,SULLIVAN-CONNER,874080311,8027409168,CHECKING,2019-04-18,lnl
LNL0000120,"MYERS, MORRISON AND SIMON",807666737,4708615323,SAVINGS,2011-12-04,lnl
LNL0000121,WOOD GROUP,339454587,4070885938,CHECKING,2024-11-03,lnl
LNL0000122,"JENSEN, BAILEY AND HENSON",627631000,6516256079,CHECKING,2022-11-12,lnl
LNL0000123,HOPKINS-ANDREWS,751217492,3260231230,SAVINGS,2008-11-10,lnl
LNL0000124,MILLER-MURPHY,927628369,3450879577,CHECKING,2015-01-14,lnl
LNL0000125,SCHULTZ-JOHNSON,338468688,4326238166,SAVINGS,2010-07-24,lnl
LNL0000126,CHARLES-SANCHEZ,896138798,9029279326,CHECKING,2006-03-18,lnl
LNL0000127,MORALES-VAZQUEZ,183180232,2960303746,SAVINGS,2013-12-07,lnl
LNL0000128,MARTINEZ GROUP,461243518,8991446590,CHECKING,2021-01-11,lnl
LNL0000129,"BLACK, TAYLOR AND LEE",255593693,5000983730,CHECKING,2015-01-20,lnl
LNL0000130,"WEBB, HATFIELD AND ANDERSON",152546809,8002311304,SAVINGS,2022-09-04,lnl
LNL0000131,"SNYDER, PETERSON AND JOHNSON",260899807,3778657075,CHECKING,2017-05-13,lnl
LNL0000132,RANGEL-WILSON,678418921,7903066005,SAVINGS,2010-12-06,lnl
LNL0000133,DUFFY AND SONS,625650580,4742862209,SAVINGS,2010-11-02,lnl
LNL0000134,HAMPTON PLC,850398480,9817723363,SAVINGS,2009-05-05,lnl
LNL0000135,"HOWARD, GARZA AND AUSTIN",367534906,9863702698,SAVINGS,2007-03-02,lnl
LNL0000136,ALLEN AND SONS,344642830,1337181039,CHECKING,2020-05-10,lnl
LNL0000137,"BURTON, GEORGE AND HAWKINS",184930773,3592294878,SAVINGS,2011-11-23,lnl
LNL0000138,"LEWIS, WILLIAMS AND CHAMBERS",980207679,6605374417,SAVINGS,2007-03-11,lnl
LNL0000139,COLLINS-GORDON,344449044,6545539457,CHECKING,2005-02-16,lnl
LNL0000140,"HAMILTON, ARNOLD AND PARSONS",332553595,9838411097,CHECKING,2012-09-25,lnl
LNL0000141,"HERNANDEZ, MARTINEZ AND POPE",798958271,9349234924,CHECKING,2006-06-15,lnl
LNL0000142,MILLER-TAYLOR,674722521,6989686319,SAVINGS,2019-01-10,lnl
LNL0000143,RICE-GARCIA,572740570,7136295641,SAVINGS,2014-01-18,lnl
LNL0000144,FERNANDEZ-CONRAD,753617641,9515978400,CHECKING,2008-02-11,lnl
LNL0000145,ADAMS-EDWARDS,552011198,6703662450,SAVINGS,2009-02-26,lnl
LNL0000146,DANIELS-DAVIS,518825140,2303287756,CHECKING,2009-03-23,lnl
LNL0000147,"BLAKE, HANNA AND SMITH",858518698,9594418023,SAVINGS,2008-06-21,lnl
LNL0000148,"HIGGINS, LEWIS AND GARCIA",525099769,1032278764,CHECKING,2018-05-20,lnl
LNL0000149,PATTERSON-MILLER,197272736,3320065957,SAVINGS,2023-07-19,lnl
LNL0000150,STEVENS AND SONS,606409358,9420167483,SAVINGS,2022-09-11,lnl
LNL0000151,MONROE GROUP,931613616,8727443708,SAVINGS,2005-01-07,lnl
LNL0000152,"BAKER, FISHER AND CHRISTIAN",220695962,9917852302,CHECKING,2013-12-11,lnl
LNL0000153,CURRY AND SONS,976812849,5504099311,SAVINGS,2021-10-08,lnl
LNL0000154,"WATSON, DYER AND HERNANDEZ",315938931,6710286016,CHECKING,2006-05-13,lnl
LNL0000155,"SALAS, WALL AND BRYAN",835308592,9467254481,CHECKING,2015-08-26,lnl
LNL0000156,"TAYLOR, EVANS AND LANE",337035210,9019115497,SAVINGS,2023-01-21,lnl
LNL0000157,BLAIR LLC,981155153,6984601460,CHECKING,2012-11-03,lnl
LNL0000158,BALLARD LTD,619198971,5106862276,CHECKING,2022-07-12,lnl
LNL0000159,"REED, MILLER AND PERKINS",945052195,5646404715,SAVINGS,2023-12-01,lnl
LNL0000160,LAWRENCE LLC,810845852,3489788377,SAVINGS,2013-05-28,lnl
LNL0000161,MILLS PLC,281279249,6854645997,CHECKING,2013-06-02,lnl
LNL0000162,"MOON, WARD AND MORENO",735045851,2611114553,CHECKING,2015-11-15,lnl
LNL0000163,"ADAMS, WILLIS AND VELASQUEZ",356736296,5316273772,SAVINGS,2005-08-08,lnl
LNL0000164,"JENKINS, CAMPOS AND CLARK",168436843,7570686706,SAVINGS,2013-09-22,lnl
LNL0000165,ELLISON-MILLS,531874230,8052541017,CHECKING,2007-02-23,lnl
LNL0000166,"LOPEZ, SOLIS AND LOVE",911754851,7362253354,CHECKING,2020-03-02,lnl
LNL0000167,"ADAMS, CHEN AND WATTS",759826699,1431144413,CHECKING,2025-04-30,lnl
LNL0000168,KRAMER INC,744937116,6370881279,CHECKING,2007-07-24,lnl
LNL0000169,MASSEY GROUP,568645093,5334165705,SAVINGS,2021-05-10,lnl
LNL0000170,"DELACRUZ, PETERS AND ASHLEY",906857824,5691893157,CHECKING,2009-02-11,lnl
LNL0000171,"HOWARD, JOHNSON AND MCINTYRE",586970303,7341009118,SAVINGS,2010-06-20,lnl
LNL0000172,NICHOLS GROUP,490197636,5202159675,CHECKING,2023-10-13,lnl
LNL0000173,LUCAS AND SONS,589446955,8214049969,SAVINGS,2021-06-04,lnl
LNL0000174,LUNA-MARTINEZ,740074579,2593375626,SAVINGS,2022-02-20,lnl
LNL0000175,REED-CASTANEDA,255538906,6653673833,SAVINGS,2006-11-07,lnl
LNL0000176,"SHAW, WRIGHT AND WOOD",434894314,2063369407,SAVINGS,2021-01-06,lnl
LNL0000177,MOORE-CARTER,228042538,8229637721,SAVINGS,2013-05-06,lnl
LNL0000178,MARTINEZ-COBB,749741538,9938717624,SAVINGS,2015-01-10,lnl
LNL0000179,WILLIAMS-WHITE,115715833,1810152731,SAVINGS,2013-08-04,lnl
LNL0000180,"ARROYO, BAIRD AND COLEMAN",363288994,3061951959,CHECKING,2018-06-07,lnl
LNL0000181,WILLIAMSON-SHARP,696181353,9541789094,SAVINGS,2025-04-25,lnl
LNL0000182,"ANDERSON, ADAMS AND RAMOS",445569917,9327688992,CHECKING,2015-10-11,lnl
LNL0000183,"BAKER, WILLIAMS AND PRESTON",580936124,2588372108,CHECKING,2017-10-22,lnl
LNL0000184,"HARRIS, LEWIS AND THOMAS",909721894,6505424324,SAVINGS,2007-03-24,lnl
LNL0000185,MUNOZ AND SONS,289133792,2521990890,CHECKING,2025-02-01,lnl
LNL0000186,MORRIS-TUCKER,811805708,5774077377,CHECKING,2023-07-09,lnl
LNL0000187,"RODRIGUEZ, ROBINSON AND COLLIER",990726843,3449825559,SAVINGS,2005-05-01,lnl
LNL0000188,DIXON LLC,981580851,4310893868,CHECKING,2024-02-17,lnl
LNL0000189,SMITH AND SONS,508664466,5135353541,SAVINGS,2014-10-25,lnl
LNL0000190,MCFARLAND LTD,107352639,9133702118,SAVINGS,2005-10-23,lnl
LNL0000191,"WILLIAMS, BROWN AND WILLIAMS",698406902,6367797763,SAVINGS,2010-05-15,lnl
LNL0000192,BENITEZ LTD,852050373,5134763682,CHECKING,2005-11-09,lnl
LNL0000193,JOHNSON LTD,417699685,4732424813,CHECKING,2007-08-20,lnl
LNL0000194,"COLEMAN, GREEN AND PERKINS",788446003,8689500216,SAVINGS,2024-08-01,lnl
LNL0000195,LEWIS-BRENNAN,442919550,6450512519,CHECKING,2007-06-22,lnl
LNL0000196,COOPER AND SONS,449076827,2244828689,CHECKING,2019-05-30,lnl
LNL0000197,ALLEN-GRAHAM,734429373,2107808293,SAVINGS,2017-06-25,lnl
LNL0000198,"MURRAY, WHEELER AND CARTER",488518283,8659128171,SAVINGS,2022-07-29,lnl
LNL0000199,BOWMAN LLC,494324077,6107859056,SAVINGS,2023-01-22,lnl
LNL0000200,SALAZAR INC,878809950,3525666051,SAVINGS,2023-07-29,lnl
LNL0000201,"MARTINEZ, ANDERSON AND NELSON",813170003,5367445810,SAVINGS,2013-09-08,lnl
LNL0000202,"VANG, ALLEN AND THOMPSON",179916401,4080215666,SAVINGS,2015-11-28,lnl
LNL0000203,"SAWYER, BRYANT AND LUCAS",709627125,2340570598,CHECKING,2017-03-30,lnl
LNL0000204,SALAZAR-HERNANDEZ,904976050,6990453937,SAVINGS,2015-11-02,lnl
LNL0000205,THOMAS-LYNN,319262834,6707875369,CHECKING,2019-05-18,lnl
LNL0000206,MORALES-MOORE,301099404,2457247505,SAVINGS,2012-09-29,lnl
LNL0000207,"PATEL, ESCOBAR AND SHANNON",993508112,3161108485,CHECKING,2016-07-23,lnl
LNL0000208,"LEVINE, MENDEZ AND MCCLURE",581134845,6331330589,SAVINGS,2017-01-17,lnl
LNL0000209,CARSON-RAMSEY,939904073,3988018413,SAVINGS,2009-12-20,lnl
LNL0000210,PARKER-PETERSON,281478346,8871473070,SAVINGS,2018-07-04,lnl
LNL0000211,"TURNER, VARGAS AND DYER",718678866,5375412299,CHECKING,2023-01-30,lnl
LNL0000212,CHAVEZ-DEAN,889597795,7609959043,CHECKING,2017-04-05,lnl
LNL0000213,"LARSON, CALDWELL AND LEE",703375584,1733401520,CHECKING,2023-01-02,lnl
LNL0000214,"OCONNELL, ROBINSON AND DANIELS",802904486,1063413405,CHECKING,2005-03-12,lnl
LNL0000215,MADDOX-SILVA,344520345,7860185028,CHECKING,2016-06-11,lnl
LNL0000216,JOHNSON-JONES,963056904,7752199890,CHECKING,2025-10-11,lnl
LNL0000217,"JOHNSON, RUIZ AND MORAN",715406109,4218862997,SAVINGS,2023-07-29,lnl
LNL0000218,"PERKINS, CANNON AND ALVAREZ",328114877,9483068221,SAVINGS,2007-08-18,lnl
LNL0000219,JOSEPH INC,250475132,9551735157,SAVINGS,2025-08-07,lnl
LNL0000220,HOWARD LTD,997208845,1652039821,SAVINGS,2019-02-03,lnl
LNL0000221,KELLEY LTD,599608335,8950098139,SAVINGS,2008-03-29,lnl
LNL0000222,"JACKSON, MENDOZA AND MILES",770665282,5698450813,CHECKING,2009-09-27,lnl
LNL0000223,WILLIAMS LLC,164633262,9439845433,CHECKING,2014-12-09,lnl
LNL0000224,"MELENDEZ, ROSALES AND CRAIG",418230257,9289213675,SAVINGS,2024-07-21,lnl
LNL0000225,"YATES, COLLINS AND BLANKENSHIP",474228372,3696494311,CHECKING,2006-05-14,lnl
LNL0000226,HARRIS GROUP,757319179,4109901618,CHECKING,2008-12-13,lnl
LNL0000227,GARCIA-SCHNEIDER,620884298,7956216812,SAVINGS,2006-12-07,lnl
LNL0000228,"POWELL, ADAMS AND HUDSON",837728415,2037224004,CHECKING,2010-11-29,lnl
LNL0000229,STEWART-RAMIREZ,499800924,5476315352,CHECKING,2014-05-16,lnl
LNL0000230,ANDERSON-JONES,480096632,3043779620,SAVINGS,2021-11-23,lnl
LNL0000231,"VAUGHN, WALKER AND BISHOP",168821204,7599922025,CHECKING,2024-03-28,lnl
LNL0000232,MCLAUGHLIN PLC,326876108,5450812505,CHECKING,2022-04-19,lnl
LNL0000233,JOHNSON INC,803470495,2156848305,SAVINGS,2010-07-31,lnl
LNL0000234,MCGRATH LLC,523957518,8788555757,CHECKING,2009-08-17,lnl
LNL0000235,BELL PLC,745718130,6597042258,CHECKING,2009-08-27,lnl
LNL0000236,HILL GROUP,156575033,7603551860,CHECKING,2010-12-06,lnl
LNL0000237,"GARRETT, RICH AND HENRY",322563937,4930216596,CHECKING,2008-06-21,lnl
LNL0000238,"ALLEN, PRINCE AND COLE",929322283,8074223614,CHECKING,2014-09-23,lnl
LNL0000239,"REYES, FARRELL AND HOLMES",591149438,5739327162,SAVINGS,2010-04-25,lnl
LNL0000240,GONZALEZ-YOUNG,652220150,7581836309,SAVINGS,2010-06-04,lnl
LNL0000241,LIU INC,370405830,3890146490,SAVINGS,2010-07-31,lnl
LNL0000242,"WASHINGTON, STEWART AND DIXON",501962440,3121420307,CHECKING,2024-07-05,lnl
LNL0000243,"JOHNSTON, SULLIVAN AND CHAVEZ",556406768,7350434336,SAVINGS,2018-05-25,lnl
LNL0000244,"THOMAS, CHRISTENSEN AND BATES",791062657,4510888485,CHECKING,2012-06-23,lnl
LNL0000245,"ADAMS, THOMAS AND SALAZAR",780939039,8883720275,SAVINGS,2024-04-06,lnl
LNL0000246,NGUYEN LTD,492598350,1542793525,SAVINGS,2025-12-06,lnl
LNL0000247,"WILLIAMS, NELSON AND OWENS",953704093,2685880913,CHECKING,2005-03-20,lnl
LNL0000248,"PAGE, BREWER AND MILLS",157938177,4320010101,SAVINGS,2017-08-26,lnl
LNL0000249,HUNT AND SONS,864897909,5307638578,CHECKING,2022-01-02,lnl
LNL0000250,GALLAGHER-GONZALES,619596605,8524125586,CHECKING,2018-08-16,lnl
LNL0000251,OLSON INC,998599820,6966083696,CHECKING,2016-11-14,lnl
LNL0000252,ROBLES-JACKSON,387443208,8680984702,SAVINGS,2006-08-12,lnl
LNL0000253,YOUNG-GRAHAM,564392077,4498343697,CHECKING,2006-10-11,lnl
LNL0000254,"DAVIS, JOHNSON AND JOHNSON",338207322,1735342064,SAVINGS,2019-08-31,lnl
LNL0000255,MORGAN-HUGHES,223843519,4957206500,SAVINGS,2009-03-17,lnl
LNL0000256,SANTIAGO LLC,835959694,9081994734,CHECKING,2024-04-20,lnl
LNL0000257,DANIELS INC,278935598,7010184475,CHECKING,2018-12-30,lnl
LNL0000258,ARELLANO-WILLIAMS,466511649,6794728623,SAVINGS,2019-06-09,lnl
LNL0000259,"JIMENEZ, OBRIEN AND BATES",260836973,6755464206,SAVINGS,2011-12-26,lnl
LNL0000260,FLORES LTD,656511040,5719844298,SAVINGS,2007-01-26,lnl
LNL0000261,CAMACHO INC,812008395,6792343768,SAVINGS,2014-11-06,lnl
LNL0000262,HUNT LTD,112966224,7304828378,SAVINGS,2005-11-24,lnl
LNL0000263,JOHNSON-MARTIN,721506187,8949710258,SAVINGS,2025-03-17,lnl
LNL0000264,"ALI, CARR AND MARTIN",907937227,8065243697,CHECKING,2025-05-19,lnl
LNL0000265,FRAZIER LTD,776570365,5727088303,SAVINGS,2025-06-11,lnl
LNL0000266,"WILLIAMS, WHITE AND WILLIAMS",256171619,3553504940,SAVINGS,2021-12-24,lnl
LNL0000267,ANDREWS LLC,922709769,2258052115,CHECKING,2010-10-23,lnl
LNL0000268,WILLIAMS-DANIEL,492654087,7259685809,SAVINGS,2009-10-07,lnl
LNL0000269,HARRINGTON-SANTANA,445034022,4788392099,CHECKING,2017-07-14,lnl
LNL0000270,RICH-HATFIELD,822169767,8492542889,CHECKING,2018-07-22,lnl
LNL0000271,WOODWARD PLC,807201577,4908154649,CHECKING,2025-10-04,lnl
LNL0000272,DAVIS-WASHINGTON,636665061,7711962277,SAVINGS,2018-04-07,lnl
LNL0000273,MONTGOMERY-HERNANDEZ,817331458,3196524586,CHECKING,2010-04-18,lnl
LNL0000274,STEWART LLC,868138162,1136834526,CHECKING,2020-03-20,lnl
LNL0000275,CAMPBELL-BERG,782732853,5850168004,SAVINGS,2015-02-17,lnl
LNL0000276,THOMAS GROUP,797833389,8561703216,SAVINGS,2013-10-02,lnl
LNL0000277,JONES-CARLSON,467002364,5377556018,CHECKING,2019-03-09,lnl
LNL0000278,HUBBARD GROUP,557931763,1829726293,SAVINGS,2005-01-08,lnl
LNL0000279,DANIELS-BURCH,198857011,8711268739,SAVINGS,2006-06-04,lnl
LNL0000280,"MORA, ZHANG AND LEE",330180302,5614337639,SAVINGS,2025-10-30,lnl
LNL0000281,RIVERS GROUP,550220088,9229405089,CHECKING,2011-09-09,lnl
LNL0000282,HINES LLC,328282738,1175486294,CHECKING,2005-07-10,lnl
LNL0000283,HERNANDEZ AND SONS,147596336,6280765431,SAVINGS,2021-01-27,lnl
LNL0000284,PHILLIPS AND SONS,886295070,2466399460,SAVINGS,2007-11-06,lnl
LNL0000285,"OSBORNE, STEVENSON AND FLETCHER",358505692,7257720180,CHECKING,2021-03-25,lnl
LNL0000286,HOOVER LLC,357068174,8743360125,SAVINGS,2014-10-11,lnl
LNL0000287,RICE-HARRIS,580882981,7478244630,CHECKING,2016-02-24,lnl
LNL0000288,WARNER LTD,198356531,6191654062,CHECKING,2009-10-30,lnl
LNL0000289,WILLIAMSON-BRUCE,993958504,8020636764,SAVINGS,2008-05-27,lnl
LNL0000290,"WOODWARD, MCCOY AND PIERCE",305514377,3027450749,SAVINGS,2020-08-08,lnl
LNL0000291,"LLOYD, TODD AND CABRERA",795739071,1057616245,CHECKING,2008-10-30,lnl
