policy_number,ssn,first_name,last_name,dob,gender,policy_type,policy_status,issue_date,face_amount,org_code
LNL0000032,100-00-0062,MICHAEL,LEWIS,1980-10-02,M,ENDOWMENT,CANCELLED,2022-07-28,29328.97,lnl
LNL0000033,100-00-0067,SAMANTHA,MARTIN,1965-10-16,M,TERM_10,PENDING,2005-01-03,21263.32,lnl
LNL0000034,100-00-0067,SAMANTHA,MARTIN,1965-10-16,M,WHOLE_LIFE,PENDING,2022-04-21,80809.01,lnl
LNL0000035,100-00-0067,SAMANTHA,MARTIN,1965-10-16,M,ENDOWMENT,PENDING,2022-03-16,40779.56,lnl
LNL0000036,100-00-0070,LATOYA,LARSON,1993-07-13,F,TERM_20,LAPSED,2021-11-24,21839.03,lnl
LNL0000037,,TONYA,RAYMOND,1967-12-20,U,UNIVERSAL_LIFE,ACTIVE,2025-03-11,89755.52,lnl
LNL0000038,100-00-0077,DONNA,JOHNSON,1961-08-30,M,TERM_20,LAPSED,2005-12-03,55968.49,lnl
LNL0000039,100-00-0079,ANDREW,WELLS,1967-09-05,F,TERM_20,LAPSED,2012-08-18,54151.31,lnl
LNL0000040,,ANDREW,WELLS,1967-09-05,F,ENDOWMENT,ACTIVE,2015-10-08,201456.58,lnl
LNL0000041,100-00-0080,LORI,MILLER,1963-08-22,F,TERM_20,ACTIVE,2025-12-17,29520.21,lnl
LNL0000042,100-00-0084,RONALD,MILLER,1966-05-30,F,TERM_20,ACTIVE,2005-01-29,47453.42,lnl
LNL0000043,100-00-0084,RONALD,MILLER,1966-05-30,F,TERM_10,ACTIVE,2012-03-05,95604.47,lnl
LNL0000044,100-00-0084,RONALD,MILLER,1966-05-30,F,WHOLE_LIFE,LAPSED,2023-09-25,415753.93,lnl
LNL0000045,100-00-0085,KYLE,SMITH,1960-04-02,F,TERM_10,CANCELLED,2007-07-03,95550.54,lnl
LNL0000046,100-00-0085,KYLE,SMITH,1960-04-02,F,UNIVERSAL_LIFE,ACTIVE,2006-03-17,51066.24,lnl
LNL0000047,100-00-0090,MARK,MILLS,1966-02-03,U,UNIVERSAL_LIFE,LAPSED,2024-07-07,92575.24,lnl
LNL0000048,100-00-0090,MARK,MILLS,1966-02-03,U,WHOLE_LIFE,ACTIVE,2009-01-04,57558.88,lnl
LNL0000049,100-00-0093,JAMES,COBB,1969-01-02,M,TERM_20,ACTIVE,2011-11-06,98772.39,lnl
LNL0000050,100-00-0097,BRIAN,LEWIS,1979-11-14,F,TERM_20,ACTIVE,2010-07-19,117031.25,lnl
LNL0000051,100-00-0099,JONATHAN,POWELL,1978-02-15,M,ENDOWMENT,ACTIVE,2018-06-02,28072.17,lnl
LNL0000052,100-00-0104,KATHRYN,GOMEZ,1991-03-05,F,TERM_10,ACTIVE,2013-08-16,85589.31,lnl
LNL0000053,100-00-0107,HEATHER,NIELSEN,1965-11-15,U,TERM_10,ACTIVE,2016-06-06,228078.78,lnl
LNL0000054,100-00-0108,DAVID,SHIELDS,1994-12-10,U,TERM_20,PENDING,2021-11-18,100743.24,lnl
LNL0000055,100-00-0113,CAROL,BURGESS,1987-04-11,F,TERM_10,ACTIVE,2009-08-09,25537.05,lnl
LNL0000056,100-00-0113,CAROL,BURGESS,1987-04-11,F,WHOLE_LIFE,ACTIVE,2009-06-10,114470.92,lnl
LNL0000057,100-00-0115,CATHY,ORTIZ,1964-04-29,M,TERM_20,LAPSED,2006-12-19,20745.17,lnl
LNL0000058,100-00-0116,COLIN,THOMAS,1973-04-11,M,WHOLE_LIFE,ACTIVE,2022-06-24,86964.94,lnl
LNL0000059,100-00-0116,COLIN,THOMAS,1973-04-11,M,WHOLE_LIFE,ACTIVE,2015-07-11,50251.55,lnl
LNL0000060,100-00-0118,GRANT,THOMPSON,1978-05-21,M,TERM_10,ACTIVE,2019-10-16,103950.60,lnl
LNL0000061,100-00-0118,GRANT,THOMPSON,1978-05-21,M,UNIVERSAL_LIFE,ACTIVE,2017-05-15,109952.30,lnl
LNL0000062,100-00-0120,DUSTIN,CLARK,1999-06-29,U,WHOLE_LIFE,LAPSED,2014-05-04,42476.00,lnl
LNL0000063,100-00-0120,DUSTIN,CLARK,1999-06-29,U,WHOLE_LIFE,ACTIVE,2009-02-05,42607.40,lnl
LNL0000064,100-00-0122,ANN,TOWNSEND,1994-07-25,F,ENDOWMENT,LAPSED,2010-12-10,27833.24,lnl
LNL0000065,100-00-0122,ANN,TOWNSEND,1994-07-25,F,ENDOWMENT,ACTIVE,2017-01-06,26769.58,lnl
LNL0000066,100-00-0122,ANN,TOWNSEND,1994-07-25,F,TERM_10,ACTIVE,2011-01-29,594366.31,lnl
LNL0000067,100-00-0125,LAUREN,MATHIS,1997-12-14,F,UNIVERSAL_LIFE,LAPSED,2015-06-04,468854.23,lnl
LNL0000068,100-00-0125,LAUREN,MATHIS,1997-12-14,F,TERM_10,ACTIVE,2022-10-14,521578.06,lnl
LNL0000069,100-00-0127,DAVID,SHORT,1998-06-25,F,ENDOWMENT,ACTIVE,2006-07-25,52045.59,lnl
LNL0000070,100-00-0127,DAVID,SHORT,1998-06-25,F,WHOLE_LIFE,ACTIVE,2018-02-18,276045.84,lnl
LNL0000071,100-00-0127,DAVID,SHORT,1998-06-25,F,WHOLE_LIFE,ACTIVE,2009-03-02,115129.20,lnl
LNL0000072,100-00-0128,JACOB,JONES,1990-06-05,M,UNIVERSAL_LIFE,ACTIVE,2021-09-30,94449.71,lnl
LNL0000073,100-00-0128,JACOB,JONES,1990-06-05,M,TERM_10,ACTIVE,2024-02-08,295669.41,lnl
LNL0000074,100-00-0130,KEITH,WILLIS,1972-11-26,M,UNIVERSAL_LIFE,ACTIVE,2009-12-24,501427.05,lnl
LNL0000075,100-00-0135,BRANDON,ROBINSON,1997-05-06,M,TERM_10,ACTIVE,2011-03-30,98374.08,lnl
LNL0000076,100-00-0140,RAYMOND,SHORT,1969-09-14,F,TERM_20,ACTIVE,2021-11-08,25217.73,lnl
LNL0000077,100-00-0140,RAYMOND,SHORT,1969-09-14,F,WHOLE_LIFE,ACTIVE,2013-07-01,52436.41,lnl
LNL0000078,100-00-0143,REGINALD,GUTIERREZ,1975-02-08,F,TERM_10,ACTIVE,2023-12-23,521141.01,lnl
LNL0000079,100-00-0143,REGINALD,GUTIERREZ,1975-02-08,F,UNIVERSAL_LIFE,ACTIVE,2005-07-18,420591.66,lnl
LNL0000080,100-00-0147,NATHAN,DAVIS,1978-07-29,F,UNIVERSAL_LIFE,PENDING,2025-08-14,277683.66,lnl
LNL0000081,100-00-0151,NICHOLE,LEBLANC,1964-02-27,M,TERM_10,ACTIVE,2015-03-17,572197.67,lnl
LNL0000082,100-00-0151,NICHOLE,LEBLANC,1964-02-27,M,TERM_10,LAPSED,2007-04-23,26432.22,lnl
LNL0000083,100-00-0156,JENNIFER,ROSS,1976-09-24,U,UNIVERSAL_LIFE,LAPSED,2025-02-09,441747.93,lnl
LNL0000084,100-00-0156,JENNIFER,ROSS,1976-09-24,U,TERM_20,CANCELLED,2011-12-07,47655.86,lnl
LNL0000085,100-00-0157,SCOTT,COLLINS,1994-07-30,F,TERM_10,ACTIVE,2008-12-16,51795.03,lnl
LNL0000086,100-00-0157,SCOTT,COLLINS,1994-07-30,F,TERM_20,LAPSED,2020-06-17,429311.49,lnl
LNL0000087,100-00-0161,DESTINY,VALDEZ,1973-12-20,U,ENDOWMENT,CANCELLED,2006-07-16,111394.79,lnl
LNL0000088,100-00-0163,LANCE,SAWYER,1989-04-22,U,ENDOWMENT,LAPSED,2010-07-17,458470.76,lnl
LNL0000089,100-00-0165,JENNIFER,ROBINSON,1964-09-28,U,UNIVERSAL_LIFE,ACTIVE,2014-09-07,520817.66,lnl
LNL0000090,100-00-0168,LISA,CRAIG,1969-10-21,U,UNIVERSAL_LIFE,ACTIVE,2014-02-25,248191.35,lnl
LNL0000091,100-00-0171,JOHN,PHILLIPS,1977-03-16,F,WHOLE_LIFE,ACTIVE,2006-01-13,49815.30,lnl
LNL0000092,100-00-0171,JOHN,PHILLIPS,1977-03-16,F,WHOLE_LIFE,ACTIVE,2024-09-02,253147.17,lnl
LNL0000093,100-00-0173,KAREN,MILLER,1993-09-16,M,TERM_10,ACTIVE,2014-03-16,201847.36,lnl
LNL0000094,100-00-0173,KAREN,MILLER,1993-09-16,M,UNIVERSAL_LIFE,ACTIVE,2013-09-17,42809.47,lnl
LNL0000095,100-00-0177,SAMUEL,STUART,1978-11-21,F,ENDOWMENT,ACTIVE,2019-10-08,107872.72,lnl
LNL0000096,100-00-0177,SAMUEL,STUART,1978-11-21,F,TERM_10,ACTIVE,2005-09-19,48256.34,lnl
LNL0000097,100-00-0177,SAMUEL,STUART,1978-11-21,F,WHOLE_LIFE,ACTIVE,2012-01-27,464208.22,lnl
LNL0000098,100-00-0181,JONATHAN,GORDON,1982-07-27,F,TERM_10,CANCELLED,2013-04-14,557582.03,lnl
LNL0000099,100-00-0182,REBECCA,BAXTER,1995-05-10,F,TERM_20,ACTIVE,2023-06-24,502553.10,lnl
LNL0000100,100-00-0185,KRISTINA,FERGUSON,1965-09-16,F,TERM_20,CANCELLED,2005-10-24,24726.18,lnl
LNL0000101,100-00-0190,SARAH,SCOTT,1999-07-18,F,ENDOWMENT,ACTIVE,2005-10-26,53432.17,lnl
LNL0000102,100-00-0194,NICOLE,ORTIZ,1989-07-11,U,ENDOWMENT,ACTIVE,2005-10-05,51958.35,lnl
LNL0000103,100-00-0194,NICOLE,ORTIZ,1989-07-11,U,WHOLE_LIFE,ACTIVE,2008-09-02,233022.43,lnl
LNL0000104,100-00-0198,DOMINIQUE,CARR,1972-08-30,F,ENDOWMENT,ACTIVE,2025-03-05,593945.98,lnl
LNL0000105,100-00-0198,DOMINIQUE,CARR,1972-08-30,F,TERM_10,ACTIVE,2010-02-21,45080.20,lnl
LNL0000106,100-00-0200,JUSTIN,GREGORY,1998-09-12,U,UNIVERSAL_LIFE,ACTIVE,2011-04-07,98767.45,lnl
LNL0000107,100-00-0205,CASSANDRA,ARCHER,1968-09-21,F,WHOLE_LIFE,ACTIVE,2007-02-28,499927.56,lnl
LNL0000108,,CASSANDRA,ARCHER,1968-09-21,F,TERM_10,ACTIVE,2010-02-01,46371.31,lnl
LNL0000109,100-00-0209,ELIZABETH,ALEXANDER,1999-10-23,M,UNIVERSAL_LIFE,LAPSED,2016-09-11,278256.51,lnl
LNL0000110,100-00-0212,NOAH,CLAY,1960-03-11,U,ENDOWMENT,LAPSED,2024-07-07,55354.20,lnl
LNL0000111,100-00-0212,NOAH,CLAY,1960-03-11,U,ENDOWMENT,ACTIVE,2018-11-02,55246.86,lnl
LNL0000112,100-00-0215,MICHAEL,ESTRADA,1991-02-23,F,WHOLE_LIFE,ACTIVE,2020-06-04,115489.79,lnl
LNL0000113,100-00-0218,HEATHER,OCONNELL,1999-12-25,U,ENDOWMENT,ACTIVE,2007-03-07,416833.84,lnl
LNL0000114,100-00-0220,JAMES,ORTEGA,1995-06-01,U,TERM_20,ACTIVE,2025-04-06,222290.42,lnl
LNL0000115,100-00-0222,GEORGE,BOWMAN,1989-06-24,F,TERM_10,CANCELLED,2016-06-04,115350.12,lnl
LNL0000116,100-00-0225,DIANE,PAUL,1978-04-24,F,ENDOWMENT,ACTIVE,2022-02-13,269198.96,lnl
LNL0000117,100-00-0225,DIANE,PAUL,1978-04-24,F,WHOLE_LIFE,ACTIVE,2024-12-19,286277.17,lnl
LNL0000118,100-00-0225,DIANE,PAUL,1978-04-24,F,UNIVERSAL_LIFE,ACTIVE,2005-11-22,28760.74,lnl
LNL0000119,100-00-0227,MICHELLE,HALL,1960-02-29,M,UNIVERSAL_LIFE,ACTIVE,2019-04-18,270348.12,lnl
LNL0000120,,MICHELLE,HALL,1960-02-29,M,ENDOWMENT,ACTIVE,2011-12-04,286725.63,lnl
LNL0000121,100-00-0231,MICHELLE,REED,1983-11-08,M,TERM_10,ACTIVE,2024-11-03,46001.26,lnl
LNL0000122,100-00-0236,RICARDO,RODRIGUEZ,1983-06-03,F,TERM_10,ACTIVE,2022-11-12,467858.61,lnl
LNL0000123,,AMANDA,SMITH,1982-12-05,F,WHOLE_LIFE,ACTIVE,2008-11-10,40964.53,lnl
LNL0000124,100-00-0239,LANCE,CHAMBERS,1971-11-02,U,TERM_10,LAPSED,2015-01-14,108406.71,lnl
LNL0000125,100-00-0239,LANCE,CHAMBERS,1971-11-02,U,WHOLE_LIFE,ACTIVE,2010-07-24,454780.46,lnl
LNL0000126,100-00-0239,LANCE,CHAMBERS,1971-11-02,U,ENDOWMENT,ACTIVE,2006-03-18,27350.25,lnl
LNL0000127,100-00-0241,JULIE,JACKSON,1980-12-29,U,WHOLE_LIFE,LAPSED,2013-12-07,44473.91,lnl
LNL0000128,100-00-0241,JULIE,JACKSON,1980-12-29,U,UNIVERSAL_LIFE,ACTIVE,2021-01-11,46984.05,lnl
LNL0000129,100-00-0245,KRISTEN,WALLACE,1988-01-30,U,TERM_20,ACTIVE,2015-01-20,95318.15,lnl
LNL0000130,100-00-0250,JAMIE,GOODMAN,1994-06-29,F,UNIVERSAL_LIFE,ACTIVE,2022-09-04,521763.66,lnl
LNL0000131,100-00-0250,JAMIE,GOODMAN,1994-06-29,F,ENDOWMENT,ACTIVE,2017-05-13,47460.93,lnl
LNL0000132,100-00-0255,JOANNE,MCDONALD,1993-02-27,M,TERM_20,ACTIVE,2010-12-06,252183.31,lnl
LNL0000133,100-00-0255,JOANNE,MCDONALD,1993-02-27,M,TERM_20,PENDING,2010-11-02,45755.89,lnl
LNL0000134,100-00-0257,AMANDA,HARVEY,1996-03-03,F,UNIVERSAL_LIFE,ACTIVE,2009-05-05,286772.63,lnl
LNL0000135,100-00-0257,AMANDA,HARVEY,1996-03-03,F,WHOLE_LIFE,ACTIVE,2007-03-02,259406.67,lnl
LNL0000136,100-00-0258,CRYSTAL,HUBBARD,1986-01-15,M,TERM_20,ACTIVE,2020-05-10,443507.19,lnl
LNL0000137,100-00-0259,KAYLA,GONZALEZ,1978-09-11,F,TERM_20,ACTIVE,2011-11-23,53715.38,lnl
LNL0000138,100-00-0260,ANDREW,GARCIA,1984-12-29,U,TERM_10,ACTIVE,2007-03-11,24606.39,lnl
LNL0000139,100-00-0263,KYLE,CARPENTER,1985-10-15,F,ENDOWMENT,ACTIVE,2005-02-16,51086.73,lnl
LNL0000140,100-00-0263,KYLE,CARPENTER,1985-10-15,F,WHOLE_LIFE,ACTIVE,2012-09-25,45919.69,lnl
LNL0000141,100-00-0268,SUSAN,BUTLER,1993-12-10,M,UNIVERSAL_LIFE,CANCELLED,2006-06-15,50618.73,lnl
LNL0000142,100-00-0270,MIKE,GRANT,1977-11-15,M,ENDOWMENT,ACTIVE,2019-01-10,46484.25,lnl
LNL0000143,,MIKE,GRANT,1977-11-15,M,ENDOWMENT,CANCELLED,2014-01-18,23356.41,lnl
LNL0000144,100-00-0274,STACY,CHAPMAN,1980-09-02,F,TERM_20,ACTIVE,2008-02-11,56654.29,lnl
LNL0000145,100-00-0274,STACY,CHAPMAN,1980-09-02,F,ENDOWMENT,LAPSED,2009-02-26,247266.08,lnl
LNL0000146,100-00-0277,KENNETH,SHERMAN,1999-05-19,M,WHOLE_LIFE,ACTIVE,2009-03-23,496551.72,lnl
LNL0000147,100-00-0277,KENNETH,SHERMAN,1999-05-19,M,UNIVERSAL_LIFE,ACTIVE,2008-06-21,285485.95,lnl
LNL0000148,100-00-0279,VICTORIA,LEON,1998-12-07,U,ENDOWMENT,ACTIVE,2018-05-20,81644.74,lnl
LNL0000149,100-00-0283,RAYMOND,JACKSON,1978-10-04,U,WHOLE_LIFE,ACTIVE,2023-07-19,103833.22,lnl
LNL0000150,100-00-0287,STEVEN,ANDERSON,1976-02-21,F,TERM_10,ACTIVE,2022-09-11,24291.23,lnl
LNL0000151,100-00-0289,DAVID,GRIFFIN,1972-04-09,F,UNIVERSAL_LIFE,ACTIVE,2005-01-07,81520.19,lnl
LNL0000152,100-00-0289,DAVID,GRIFFIN,1972-04-09,F,TERM_10,ACTIVE,2013-12-11,413133.64,lnl
LNL0000153,100-00-0291,MELISSA,MILES,1997-11-15,U,TERM_20,LAPSED,2021-10-08,114888.93,lnl
LNL0000154,100-00-0291,MELISSA,MILES,1997-11-15,U,ENDOWMENT,ACTIVE,2006-05-13,118756.55,lnl
LNL0000155,100-00-0296,ROBERT,BEST,1968-03-28,F,WHOLE_LIFE,ACTIVE,2015-08-26,535478.50,lnl
LNL0000156,100-00-0300,HAROLD,WRIGHT,2000-01-20,U,UNIVERSAL_LIFE,ACTIVE,2023-01-21,54908.72,lnl
LNL0000157,100-00-0305,JOSHUA,ARMSTRONG,1989-10-30,M,ENDOWMENT,ACTIVE,2012-11-03,81086.20,lnl
LNL0000158,100-00-0305,JOSHUA,ARMSTRONG,1989-10-30,M,ENDOWMENT,ACTIVE,2022-07-12,20571.93,lnl
LNL0000159,100-00-0305,JOSHUA,ARMSTRONG,1989-10-30,M,ENDOWMENT,ACTIVE,2023-12-01,524385.91,lnl
LNL0000160,100-00-0309,PAMELA,REYES,1983-11-06,M,WHOLE_LIFE,ACTIVE,2013-05-28,91440.12,lnl
LNL0000161,100-00-0310,MARGARET,GILES,1983-06-20,M,TERM_10,CANCELLED,2013-06-02,117890.60,lnl
LNL0000162,100-00-0310,MARGARET,GILES,1983-06-20,M,TERM_10,ACTIVE,2015-11-15,588459.60,lnl
LNL0000163,100-00-0314,TIMOTHY,OROZCO,1974-10-16,F,ENDOWMENT,ACTIVE,2005-08-08,255856.13,lnl
LNL0000164,100-00-0314,TIMOTHY,OROZCO,1974-10-16,F,ENDOWMENT,ACTIVE,2013-09-22,42294.77,lnl
LNL0000165,100-00-0315,PAMELA,ALVAREZ,1975-01-22,U,WHOLE_LIFE,ACTIVE,2007-02-23,47002.64,lnl
LNL0000166,100-00-0316,GAVIN,JONES,1985-07-20,U,UNIVERSAL_LIFE,CANCELLED,2020-03-02,52015.44,lnl
LNL0000167,100-00-0316,GAVIN,JONES,1985-07-20,U,TERM_20,ACTIVE,2025-04-30,201899.85,lnl
LNL0000168,100-00-0317,JOHN,STEVENS,1972-05-08,U,TERM_20,CANCELLED,2007-07-24,40685.91,lnl
LNL0000169,100-00-0317,JOHN,STEVENS,1972-05-08,U,TERM_10,ACTIVE,2021-05-10,45005.52,lnl
LNL0000170,100-00-0322,ALEXIS,RIVERA,1986-02-23,F,TERM_10,ACTIVE,2009-02-11,209423.87,lnl
LNL0000171,100-00-0322,ALEXIS,RIVERA,1986-02-23,F,TERM_10,ACTIVE,2010-06-20,236508.34,lnl
LNL0000172,100-00-0323,TROY,ROGERS,1971-09-25,M,UNIVERSAL_LIFE,ACTIVE,2023-10-13,55820.50,lnl
LNL0000173,100-00-0323,TROY,ROGERS,1971-09-25,M,TERM_20,CANCELLED,2021-06-04,83875.34,lnl
LNL0000174,100-00-0323,TROY,ROGERS,1971-09-25,M,TERM_10,ACTIVE,2022-02-20,25501.49,lnl
LNL0000175,100-00-0327,JESSICA,HUDSON,1986-05-20,M,TERM_10,ACTIVE,2006-11-07,284832.55,lnl
LNL0000176,100-00-0327,JESSICA,HUDSON,1986-05-20,M,WHOLE_LIFE,LAPSED,2021-01-06,563332.92,lnl
LNL0000177,100-00-0329,AMANDA,SCHULTZ,1961-08-15,M,TERM_10,ACTIVE,2013-05-06,98192.45,lnl
LNL0000178,100-00-0333,BRANDI,GUTIERREZ,1982-12-08,M,UNIVERSAL_LIFE,CANCELLED,2015-01-10,234213.25,lnl
LNL0000179,100-00-0336,GABRIEL,CHAPMAN,1993-11-21,F,TERM_10,ACTIVE,2013-08-04,22752.43,lnl
LNL0000180,100-00-0341,BRANDON,JOHNSON,1997-08-01,F,TERM_20,CANCELLED,2018-06-07,46469.77,lnl
LNL0000181,100-00-0341,BRANDON,JOHNSON,1997-08-01,F,TERM_10,ACTIVE,2025-04-25,23436.63,lnl
LNL0000182,100-00-0343,MATTHEW,HALL,1991-03-14,F,UNIVERSAL_LIFE,ACTIVE,2015-10-11,577950.55,lnl
LNL0000183,100-00-0344,KARLA,MOORE,1996-02-15,M,TERM_20,LAPSED,2017-10-22,46035.47,lnl
LNL0000184,100-00-0346,SCOTT,DOMINGUEZ,1981-09-27,M,ENDOWMENT,LAPSED,2007-03-24,55338.15,lnl
LNL0000185,100-00-0347,ROBERT,TRUJILLO,1972-05-10,U,UNIVERSAL_LIFE,LAPSED,2025-02-01,80666.63,lnl
LNL0000186,100-00-0350,DAVID,JACKSON,1963-03-03,U,UNIVERSAL_LIFE,ACTIVE,2023-07-09,108259.98,lnl
LNL0000187,100-00-0353,JOSHUA,DIAZ,1994-10-16,U,ENDOWMENT,CANCELLED,2005-05-01,56052.24,lnl
LNL0000188,100-00-0355,ANITA,GONZALEZ,1991-06-25,F,TERM_20,ACTIVE,2024-02-17,48279.31,lnl
LNL0000189,100-00-0357,ANGELICA,MILES,1963-08-27,U,UNIVERSAL_LIFE,ACTIVE,2014-10-25,50766.84,lnl
LNL0000190,100-00-0357,ANGELICA,MILES,1963-08-27,U,ENDOWMENT,ACTIVE,2005-10-23,40671.40,lnl
LNL0000191,100-00-0362,DENISE,OCHOA,1992-07-05,M,TERM_20,ACTIVE,2010-05-15,211040.49,lnl
LNL0000192,100-00-0362,DENISE,OCHOA,1992-07-05,M,TERM_20,PENDING,2005-11-09,115770.59,lnl
LNL0000193,100-00-0363,CHRISTOPHER,BYRD,1966-09-26,U,TERM_20,ACTIVE,2007-08-20,258114.30,lnl
LNL0000194,100-00-0365,JENNY,BRYAN,1961-06-26,U,WHOLE_LIFE,CANCELLED,2024-08-01,53979.12,lnl
LNL0000195,,EDWARD,MILLER,1967-06-21,F,TERM_10,ACTIVE,2007-06-22,41076.95,lnl
LNL0000196,100-00-0370,KATHERINE,LUCAS,1987-08-02,U,TERM_20,ACTIVE,2019-05-30,418673.04,lnl
LNL0000197,100-00-0370,KATHERINE,LUCAS,1987-08-02,U,TERM_20,ACTIVE,2017-06-25,57798.84,lnl
LNL0000198,100-00-0370,KATHERINE,LUCAS,1987-08-02,U,ENDOWMENT,CANCELLED,2022-07-29,419219.83,lnl
LNL0000199,100-00-0372,GARRETT,PITTS,1967-03-24,F,ENDOWMENT,PENDING,2023-01-22,556315.20,lnl
LNL0000200,100-00-0377,JENNIFER,MENDEZ,2000-01-23,F,WHOLE_LIFE,ACTIVE,2023-07-29,26695.61,lnl
LNL0000201,100-00-0378,KATHLEEN,CARR,1968-06-07,F,WHOLE_LIFE,ACTIVE,2013-09-08,24798.97,lnl
LNL0000202,100-00-0382,MATTHEW,BROWN,1993-02-21,M,TERM_20,ACTIVE,2015-11-28,56290.51,lnl
LNL0000203,100-00-0382,MATTHEW,BROWN,1993-02-21,M,TERM_10,PENDING,2017-03-30,22956.68,lnl
LNL0000204,100-00-0384,MATTHEW,WEBER,1982-04-10,U,WHOLE_LIFE,ACTIVE,2015-11-02,494272.12,lnl
LNL0000205,100-00-0384,MATTHEW,WEBER,1982-04-10,U,TERM_10,CANCELLED,2019-05-18,25679.15,lnl
LNL0000206,100-00-0386,JACOB,WHITE,1992-10-10,M,TERM_10,ACTIVE,2012-09-29,243198.40,lnl
LNL0000207,100-00-0386,JACOB,WHITE,1992-10-10,M,TERM_10,LAPSED,2016-07-23,83620.07,lnl
LNL0000208,100-00-0391,DANIEL,CRAWFORD,1976-11-26,U,ENDOWMENT,ACTIVE,2017-01-17,110152.67,lnl
LNL0000209,100-00-0393,TAMMY,CROSS,1995-02-10,M,TERM_20,ACTIVE,2009-12-20,26515.81,lnl
