policy_number,ssn,first_name,last_name,dob,gender,policy_type,policy_status,issue_date,face_amount,org_code
AIL0000027,100-00-0054,NICHOLAS,ARNOLD,1963-07-15,U,WHOLE_LIFE,ACTIVE,2009-09-27,55283.22,ail
AIL0000028,100-00-0058,MARIA,MONTGOMERY,1997-03-15,U,ENDOWMENT,ACTIVE,2008-12-10,47604.15,ail
AIL0000029,100-00-0058,MARIA,MONTGOMERY,1997-03-15,U,WHOLE_LIFE,ACTIVE,2019-12-26,82883.02,ail
AIL0000030,100-00-0061,MICHELLE,RAY,1999-09-20,F,UNIVERSAL_LIFE,ACTIVE,2006-09-30,103030.37,ail
AIL0000031,100-00-0066,JANET,WILLIAMS,1968-08-16,U,TERM_20,ACTIVE,2012-04-14,56026.44,ail
AIL0000032,100-00-0071,JEREMY,ROBERTS,1962-01-20,U,UNIVERSAL_LIFE,CANCELLED,2010-06-17,258887.13,ail
AIL0000033,100-00-0071,JEREMY,ROBERTS,1962-01-20,U,WHOLE_LIFE,ACTIVE,2021-09-23,88862.88,ail
AIL0000034,100-00-0072,CHRISTOPHER,HALL,1994-09-04,F,TERM_10,ACTIVE,2016-06-09,58118.45,ail
AIL0000035,100-00-0074,CRAIG,RAMIREZ,1998-05-14,M,WHOLE_LIFE,ACTIVE,2009-06-05,52047.98,ail
AIL0000036,100-00-0075,CYNTHIA,DIAZ,1977-01-18,F,UNIVERSAL_LIFE,ACTIVE,2016-01-31,275444.58,ail
AIL0000037,100-00-0075,CYNTHIA,DIAZ,1977-01-18,F,TERM_20,CANCELLED,2024-10-13,528598.37,ail
AIL0000038,100-00-0076,MITCHELL,CLARK,1988-07-07,F,TERM_20,LAPSED,2008-05-21,206828.63,ail
AIL0000039,100-00-0076,MITCHELL,CLARK,1988-07-07,F,UNIVERSAL_LIFE,ACTIVE,2018-04-07,23519.42,ail
AIL0000040,100-00-0080,JOSEPH,ZUNIGA,1976-08-09,F,WHOLE_LIFE,ACTIVE,2023-08-28,83069.24,ail
AIL0000041,100-00-0082,DEBORAH,LYNCH,1990-01-23,F,WHOLE_LIFE,ACTIVE,2015-05-19,510863.27,ail
AIL0000042,100-00-0084,GEORGE,DANIEL,1987-04-29,U,TERM_10,PENDING,2019-08-15,46430.54,ail
AIL0000043,100-00-0084,GEORGE,DANIEL,1987-04-29,U,WHOLE_LIFE,ACTIVE,2015-02-08,28109.67,ail
AIL0000044,100-00-0085,FRANK,GRAY,1983-12-17,U,ENDOWMENT,ACTIVE,2010-07-23,299098.60,ail
AIL0000045,100-00-0087,VERONICA,BOWMAN,1967-05-01,F,ENDOWMENT,ACTIVE,2011-05-07,240876.94,ail
AIL0000046,100-00-0089,ANGELA,COHEN,1972-02-09,U,UNIVERSAL_LIFE,ACTIVE,2012-07-04,23296.91,ail
AIL0000047,100-00-0089,ANGELA,COHEN,1972-02-09,U,ENDOWMENT,ACTIVE,2021-03-26,574655.93,ail
AIL0000048,100-00-0093,MEGAN,PARSONS,1969-11-07,U,WHOLE_LIFE,ACTIVE,2011-12-17,212895.17,ail
AIL0000049,100-00-0093,MEGAN,PARSONS,1969-11-07,U,ENDOWMENT,ACTIVE,2013-06-13,112527.39,ail
AIL0000050,,MEGAN,PARSONS,1969-11-07,U,TERM_20,ACTIVE,2020-01-15,250848.85,ail
AIL0000051,100-00-0098,JEREMY,JOHNSON,1997-10-22,M,TERM_10,ACTIVE,2022-03-09,219200.52,ail
AIL0000052,100-00-0101,LESLIE,ADAMS,1996-11-11,M,ENDOWMENT,ACTIVE,2007-04-09,554174.94,ail
AIL0000053,100-00-0101,LESLIE,ADAMS,1996-11-11,M,TERM_10,ACTIVE,2012-07-21,426209.81,ail
AIL0000054,,JASON,HAHN,1977-12-29,F,TERM_20,ACTIVE,2019-01-05,54423.66,ail
AIL0000055,100-00-0103,JASON,HAHN,1977-12-29,F,UNIVERSAL_LIFE,ACTIVE,2010-04-30,261059.54,ail
AIL0000056,100-00-0106,NANCY,EDWARDS,1969-06-18,U,ENDOWMENT,PENDING,2023-02-20,290397.43,ail
AIL0000057,100-00-0107,DIANA,FOSTER,1969-07-15,U,TERM_10,LAPSED,2011-04-28,250290.67,ail
AIL0000058,100-00-0110,ROBIN,ELLIS,1977-09-30,U,TERM_20,ACTIVE,2008-02-08,82087.19,ail
AIL0000059,100-00-0110,ROBIN,ELLIS,1977-09-30,U,TERM_10,ACTIVE,2007-04-21,570233.21,ail
AIL0000060,100-00-0114,JOSEPH,WRIGHT,1966-05-29,F,UNIVERSAL_LIFE,CANCELLED,2008-04-22,209171.36,ail
AIL0000061,100-00-0114,JOSEPH,WRIGHT,1966-05-29,F,TERM_20,ACTIVE,2025-11-14,24148.97,ail
AIL0000062,100-00-0114,JOSEPH,WRIGHT,1966-05-29,F,WHOLE_LIFE,LAPSED,2006-10-31,88981.55,ail
AIL0000063,100-00-0118,ANNA,BAKER,1971-01-23,U,UNIVERSAL_LIFE,ACTIVE,2022-10-01,42751.99,ail
AIL0000064,,ANNA,BAKER,1971-01-23,U,WHOLE_LIFE,ACTIVE,2008-02-11,244860.15,ail
AIL0000065,100-00-0120,BRENDA,HURST,1984-03-05,F,UNIVERSAL_LIFE,ACTIVE,2008-05-09,588045.19,ail
AIL0000066,100-00-0125,REGINALD,ROBINSON,1979-03-21,U,ENDOWMENT,ACTIVE,2011-10-04,20477.49,ail
AIL0000067,,WHITNEY,HICKS,1976-03-27,M,ENDOWMENT,ACTIVE,2025-04-20,259673.90,ail
AIL0000068,100-00-0134,CHRISTOPHER,WILLIAMS,1982-11-09,F,ENDOWMENT,ACTIVE,2011-07-15,200156.43,ail
AIL0000069,100-00-0134,CHRISTOPHER,WILLIAMS,1982-11-09,F,ENDOWMENT,ACTIVE,2019-11-26,25234.85,ail
AIL0000070,100-00-0136,DANIEL,BURTON,1993-11-25,M,WHOLE_LIFE,ACTIVE,2016-05-21,404066.86,ail
AIL0000071,100-00-0136,DANIEL,BURTON,1993-11-25,M,WHOLE_LIFE,ACTIVE,2013-05-17,109892.66,ail
AIL0000072,100-00-0137,LAURA,HENDERSON,1966-11-09,U,TERM_20,ACTIVE,2019-02-03,27715.01,ail
AIL0000073,100-00-0137,LAURA,HENDERSON,1966-11-09,U,UNIVERSAL_LIFE,PENDING,2012-11-26,467709.45,ail
AIL0000074,100-00-0138,BRYAN,JAMES,1995-07-13,U,UNIVERSAL_LIFE,ACTIVE,2009-02-02,41262.01,ail
AIL0000075,100-00-0140,WENDY,RICE,1986-10-02,M,TERM_20,ACTIVE,2022-09-29,57715.81,ail
AIL0000076,100-00-0144,TASHA,VALENCIA,1977-02-12,U,TERM_10,ACTIVE,2017-03-07,225331.38,ail
AIL0000077,100-00-0144,TASHA,VALENCIA,1977-02-12,U,WHOLE_LIFE,LAPSED,2024-05-03,28657.98,ail
AIL0000078,100-00-0144,TASHA,VALENCIA,1977-02-12,U,UNIVERSAL_LIFE,ACTIVE,2014-10-20,274330.77,ail
AIL0000079,100-00-0148,ALEXANDER,LE,1983-09-26,F,TERM_20,LAPSED,2020-07-10,236734.69,ail
AIL0000080,100-00-0152,ERIN,HERRERA,1998-08-12,M,ENDOWMENT,ACTIVE,2006-10-09,260245.33,ail
AIL0000081,100-00-0152,ERIN,HERRERA,1998-08-12,M,UNIVERSAL_LIFE,ACTIVE,2007-04-21,23279.20,ail
AIL0000082,,JOSEPH,DAVIDSON,1990-07-31,U,TERM_20,ACTIVE,2020-06-21,235154.70,ail
AIL0000083,100-00-0158,DANIEL,GRAHAM,1994-06-23,U,TERM_20,ACTIVE,2019-05-06,20750.41,ail
AIL0000084,100-00-0161,SHAWN,MCKAY,1965-01-01,F,UNIVERSAL_LIFE,ACTIVE,2008-08-03,21427.79,ail
AIL0000085,100-00-0161,SHAWN,MCKAY,1965-01-01,F,UNIVERSAL_LIFE,CANCELLED,2006-07-05,55570.31,ail
AIL0000086,100-00-0164,NANCY,BAKER,1967-02-04,F,WHOLE_LIFE,ACTIVE,2008-06-10,294882.35,ail
AIL0000087,100-00-0168,VINCENT,WHITE,1992-05-22,U,WHOLE_LIFE,ACTIVE,2013-12-05,105982.43,ail
AIL0000088,100-00-0169,RITA,HARRELL,1982-06-15,M,TERM_20,LAPSED,2016-08-12,291354.25,ail
AIL0000089,100-00-0172,KENNETH,FOWLER,2000-12-08,M,TERM_10,ACTIVE,2018-09-22,107759.23,ail
AIL0000090,100-00-0177,CHELSEA,HERNANDEZ,1997-10-02,U,WHOLE_LIFE,LAPSED,2015-02-21,57973.58,ail
AIL0000091,100-00-0177,CHELSEA,HERNANDEZ,1997-10-02,U,ENDOWMENT,ACTIVE,2023-12-19,106713.59,ail
AIL0000092,100-00-0180,KATHRYN,RYAN,1987-04-26,M,TERM_10,LAPSED,2024-02-05,54236.18,ail
AIL0000093,100-00-0180,KATHRYN,RYAN,1987-04-26,M,TERM_10,ACTIVE,2016-05-30,42427.25,ail
AIL0000094,100-00-0185,KIMBERLY,MORENO,1976-10-09,M,ENDOWMENT,ACTIVE,2013-02-04,514455.48,ail
AIL0000095,100-00-0187,AARON,NGUYEN,1994-12-05,U,UNIVERSAL_LIFE,ACTIVE,2006-06-23,95926.40,ail
AIL0000096,100-00-0187,AARON,NGUYEN,1994-12-05,U,TERM_20,ACTIVE,2022-04-02,282333.94,ail
AIL0000097,100-00-0192,ANDREW,HICKMAN,1986-11-13,F,ENDOWMENT,ACTIVE,2020-04-03,468902.96,ail
AIL0000098,100-00-0193,NATASHA,DECKER,1960-11-15,M,WHOLE_LIFE,ACTIVE,2007-11-24,250286.38,ail
AIL0000099,100-00-0197,KYLE,BROWN,1999-06-01,F,ENDOWMENT,CANCELLED,2008-08-19,117389.51,ail
AIL0000100,100-00-0200,NATALIE,ARROYO,1962-08-07,M,TERM_10,ACTIVE,2010-08-15,52701.14,ail
AIL0000101,100-00-0200,NATALIE,ARROYO,1962-08-07,M,ENDOWMENT,CANCELLED,2018-10-13,418685.68,ail
AIL0000102,100-00-0202,CHRISTOPHER,TUCKER,1963-07-14,M,ENDOWMENT,ACTIVE,2019-10-11,544126.55,ail
AIL0000103,100-00-0207,CHAD,HODGES,1996-08-08,M,TERM_20,ACTIVE,2006-10-28,29485.47,ail
AIL0000104,100-00-0207,CHAD,HODGES,1996-08-08,M,UNIVERSAL_LIFE,CANCELLED,2022-03-15,483317.36,ail
AIL0000105,100-00-0211,KATIE,ANDERSON,1994-05-09,M,UNIVERSAL_LIFE,ACTIVE,2019-05-26,99317.79,ail
AIL0000106,100-00-0216,THOMAS,PIERCE,1989-08-05,F,TERM_10,ACTIVE,2006-05-06,48792.11,ail
AIL0000107,100-00-0218,JOSEPH,BRENNAN,1967-05-29,F,UNIVERSAL_LIFE,ACTIVE,2024-04-28,109367.99,ail
AIL0000108,100-00-0223,RODNEY,LEWIS,1999-02-18,U,TERM_20,ACTIVE,2017-08-07,23191.16,ail
AIL0000109,100-00-0228,AMBER,BLAIR,1969-07-02,U,UNIVERSAL_LIFE,ACTIVE,2006-02-19,117815.40,ail
AIL0000110,100-00-0232,JAMES,COLLINS,1991-12-24,F,TERM_10,LAPSED,2008-08-01,117350.06,ail
AIL0000111,100-00-0232,JAMES,COLLINS,1991-12-24,F,UNIVERSAL_LIFE,ACTIVE,2016-03-05,493363.02,ail
AIL0000112,100-00-0234,WANDA,SANTOS,1990-02-16,U,TERM_20,ACTIVE,2016-05-03,296668.66,ail
AIL0000113,100-00-0234,WANDA,SANTOS,1990-02-16,U,UNIVERSAL_LIFE,ACTIVE,2011-04-24,259751.88,ail
AIL0000114,100-00-0234,WANDA,SANTOS,1990-02-16,U,TERM_20,LAPSED,2005-03-08,24309.28,ail
AIL0000115,100-00-0238,SAMUEL,HOLMES,1979-08-26,U,ENDOWMENT,ACTIVE,2013-12-26,25702.82,ail
AIL0000116,100-00-0241,DAVID,WALKER,1965-06-05,M,ENDOWMENT,ACTIVE,2015-02-07,455944.14,ail
AIL0000117,100-00-0245,MATTHEW,CHAPMAN,1962-11-15,F,TERM_20,LAPSED,2013-11-01,111795.89,ail
AIL0000118,100-00-0245,MATTHEW,CHAPMAN,1962-11-15,F,WHOLE_LIFE,ACTIVE,2009-06-19,501824.50,ail
AIL0000119,100-00-0245,MATTHEW,CHAPMAN,1962-11-15,F,TERM_10,ACTIVE,2021-01-02,112158.63,ail
AIL0000120,100-00-0247,JERRY,ROBINSON,1986-05-22,U,ENDOWMENT,LAPSED,2012-05-10,463706.01,ail
AIL0000121,100-00-0248,CHAD,WELCH,1986-05-25,M,ENDOWMENT,ACTIVE,2012-07-18,565657.88,ail
AIL0000122,100-00-0250,JEREMY,WHITEHEAD,1963-03-09,U,ENDOWMENT,ACTIVE,2013-04-06,106952.26,ail
AIL0000123,100-00-0250,JEREMY,WHITEHEAD,1963-03-09,U,ENDOWMENT,ACTIVE,2025-02-27,25969.10,ail
AIL0000124,100-00-0251,MICHELE,JONES,1970-04-08,M,ENDOWMENT,LAPSED,2018-02-02,217051.21,ail
AIL0000125,100-00-0251,MICHELE,JONES,1970-04-08,M,ENDOWMENT,CANCELLED,2013-07-12,56433.23,ail
AIL0000126,100-00-0252,JOHN,CALDWELL,1998-07-24,F,TERM_10,ACTIVE,2005-06-05,231369.25,ail
AIL0000127,100-00-0253,JASON,ANDERSON,1983-01-23,M,WHOLE_LIFE,LAPSED,2025-08-24,287281.77,ail
AIL0000128,100-00-0253,JASON,ANDERSON,1983-01-23,M,UNIVERSAL_LIFE,ACTIVE,2016-08-20,51217.74,ail
AIL0000129,100-00-0254,SELENA,DUNCAN,1990-01-03,F,TERM_20,ACTIVE,2008-11-19,291212.42,ail
AIL0000130,100-00-0257,THOMAS,MUELLER,1984-03-09,M,TERM_10,ACTIVE,2020-04-08,104403.06,ail
AIL0000131,100-00-0257,THOMAS,MUELLER,1984-03-09,M,TERM_20,LAPSED,2011-09-12,58829.71,ail
AIL0000132,100-00-0259,LINDSEY,LEE,1985-11-05,F,TERM_20,ACTIVE,2015-12-20,99192.14,ail
AIL0000133,100-00-0259,LINDSEY,LEE,1985-11-05,F,TERM_20,PENDING,2017-11-11,475938.84,ail
AIL0000134,100-00-0264,COLLIN,JORDAN,1995-03-13,F,TERM_20,CANCELLED,2011-07-08,22876.30,ail
AIL0000135,100-00-0264,COLLIN,JORDAN,1995-03-13,F,ENDOWMENT,ACTIVE,2019-09-18,109893.54,ail
AIL0000136,100-00-0266,RODNEY,OWENS,1968-07-16,M,TERM_10,ACTIVE,2011-02-04,42184.53,ail
AIL0000137,100-00-0270,JESSICA,NUNEZ,1989-07-23,F,UNIVERSAL_LIFE,ACTIVE,2016-11-29,52758.89,ail
AIL0000138,100-00-0270,JESSICA,NUNEZ,1989-07-23,F,ENDOWMENT,PENDING,2015-08-06,26811.92,ail
AIL0000139,100-00-0271,TRACEY,GARCIA,1978-12-31,F,TERM_20,ACTIVE,2019-08-24,247744.85,ail
AIL0000140,100-00-0274,RICHARD,MORGAN,1998-10-01,U,WHOLE_LIFE,CANCELLED,2025-05-13,26522.99,ail
AIL0000141,100-00-0274,RICHARD,MORGAN,1998-10-01,U,WHOLE_LIFE,PENDING,2008-12-05,288224.50,ail
AIL0000142,100-00-0278,MICHELLE,WRIGHT,1990-03-16,U,TERM_20,CANCELLED,2016-02-11,58732.17,ail
AIL0000143,100-00-0279,JAMES,WEST,1962-09-20,F,TERM_20,ACTIVE,2017-09-27,421460.14,ail
AIL0000144,100-00-0280,ROBERT,RAMIREZ,1995-11-29,M,ENDOWMENT,ACTIVE,2016-10-05,288926.00,ail
AIL0000145,100-00-0280,ROBERT,RAMIREZ,1995-11-29,M,TERM_20,LAPSED,2009-04-29,23306.84,ail
AIL0000146,100-00-0283,JOHN,LEBLANC,1968-08-05,M,TERM_10,ACTIVE,2012-07-24,102711.25,ail
AIL0000147,100-00-0285,SCOTT,CALLAHAN,1980-02-15,M,WHOLE_LIFE,ACTIVE,2014-02-04,251528.07,ail
AIL0000148,100-00-0285,SCOTT,CALLAHAN,1980-02-15,M,TERM_20,ACTIVE,2008-02-26,232360.17,ail
AIL0000149,100-00-0290,ANDREA,WILLIAMS,1968-03-25,F,WHOLE_LIFE,ACTIVE,2010-12-28,92077.83,ail
AIL0000150,100-00-0294,YVETTE,HUFF,1971-03-16,M,TERM_10,ACTIVE,2010-04-20,26677.86,ail
AIL0000151,100-00-0298,TANYA,HOUSE,1996-03-30,U,TERM_20,ACTIVE,2025-01-28,107611.62,ail
AIL0000152,100-00-0302,MELINDA,MARTIN,1962-04-08,U,ENDOWMENT,ACTIVE,2007-12-31,215318.56,ail
AIL0000153,100-00-0303,TODD,LEWIS,1997-07-02,M,TERM_10,LAPSED,2025-06-22,275735.05,ail
AIL0000154,100-00-0303,TODD,LEWIS,1997-07-02,M,UNIVERSAL_LIFE,ACTIVE,2020-04-05,574627.01,ail
AIL0000155,100-00-0308,RICHARD,BROWN,1993-10-20,M,ENDOWMENT,ACTIVE,2025-07-29,422441.76,ail
AIL0000156,100-00-0309,NICHOLAS,GALLOWAY,1978-03-25,F,TERM_10,LAPSED,2008-09-09,114179.44,ail
AIL0000157,100-00-0311,JOSEPH,BOWERS,1969-08-03,F,TERM_10,ACTIVE,2025-02-28,489096.54,ail
AIL0000158,100-00-0315,SPENCER,HENDERSON,1967-05-21,F,WHOLE_LIFE,ACTIVE,2006-04-18,492475.66,ail
AIL0000159,,SUSAN,COWAN,1977-07-06,F,TERM_20,LAPSED,2021-09-23,51566.23,ail
AIL0000160,100-00-0316,SUSAN,COWAN,1977-07-06,F,UNIVERSAL_LIFE,ACTIVE,2017-02-20,29345.83,ail
AIL0000161,100-00-0317,ANGELA,HIGGINS,1972-10-17,F,UNIVERSAL_LIFE,ACTIVE,2022-04-01,55316.55,ail
AIL0000162,100-00-0321,ERIC,PHILLIPS,1989-09-09,U,ENDOWMENT,ACTIVE,2015-01-23,237564.55,ail
AIL0000163,100-00-0321,ERIC,PHILLIPS,1989-09-09,U,UNIVERSAL_LIFE,ACTIVE,2024-04-18,84745.33,ail
AIL0000164,100-00-0326,TANYA,RILEY,1966-12-11,M,UNIVERSAL_LIFE,ACTIVE,2009-12-30,27561.79,ail
AIL0000165,100-00-0326,TANYA,RILEY,1966-12-11,M,TERM_10,ACTIVE,2017-03-19,253193.36,ail
AIL0000166,100-00-0330,AMY,ADKINS,1969-10-06,M,ENDOWMENT,LAPSED,2009-03-25,20322.17,ail
AIL0000167,100-00-0333,BRIAN,SILVA,1993-01-01,U,WHOLE_LIFE,ACTIVE,2005-05-09,44121.63,ail
AIL0000168,,BRIAN,SILVA,1993-01-01,U,UNIVERSAL_LIFE,ACTIVE,2020-01-28,22447.34,ail
AIL0000169,100-00-0338,WESLEY,FARRELL,1993-07-20,F,TERM_10,LAPSED,2024-05-16,21401.36,ail
AIL0000170,100-00-0339,ERIC,YU,1962-04-01,U,TERM_20,ACTIVE,2012-02-26,519583.53,ail
AIL0000171,100-00-0339,ERIC,YU,1962-04-01,U,UNIVERSAL_LIFE,ACTIVE,2024-08-27,59713.91,ail
AIL0000172,100-00-0340,CHRISTOPHER,LOPEZ,1982-07-22,U,UNIVERSAL_LIFE,ACTIVE,2018-04-09,52519.86,ail
AIL0000173,100-00-0344,BROOKE,LEONARD,1962-07-20,U,UNIVERSAL_LIFE,ACTIVE,2019-06-07,278580.46,ail
AIL0000174,100-00-0346,JOE,WILSON,1998-03-10,M,TERM_20,CANCELLED,2009-02-15,494703.76,ail
AIL0000175,100-00-0347,PAMELA,SANCHEZ,1986-09-10,M,ENDOWMENT,ACTIVE,2015-05-22,25623.86,ail
AIL0000176,100-00-0348,BROOKE,HARVEY,1978-02-10,M,UNIVERSAL_LIFE,LAPSED,2010-09-20,46605.26,ail
AIL0000177,100-00-0350,ROBERT,SILVA,1971-01-16,U,ENDOWMENT,ACTIVE,2021-04-02,41030.73,ail
AIL0000178,100-00-0355,ALEXANDRA,DONOVAN,1961-10-13,U,UNIVERSAL_LIFE,ACTIVE,2009-03-22,544861.05,ail
AIL0000179,100-00-0355,ALEXANDRA,DONOVAN,1961-10-13,U,TERM_10,CANCELLED,2025-05-06,92127.52,ail
AIL0000180,100-00-0360,JAMES,MORAN,1978-10-21,U,TERM_10,ACTIVE,2007-08-20,291444.13,ail
AIL0000181,100-00-0360,JAMES,MORAN,1978-10-21,U,UNIVERSAL_LIFE,ACTIVE,2010-05-15,464323.00,ail
AIL0000182,100-00-0360,JAMES,MORAN,1978-10-21,U,UNIVERSAL_LIFE,ACTIVE,2013-01-22,90462.47,ail
AIL0000183,100-00-0361,JOHN,FOSTER,1985-05-09,U,TERM_10,ACTIVE,2021-03-16,276162.90,ail
AIL0000184,100-00-0361,JOHN,FOSTER,1985-05-09,U,TERM_10,ACTIVE,2014-04-14,25625.25,ail
AIL0000185,100-00-0366,EMILY,EVANS,1971-09-12,M,TERM_10,ACTIVE,2018-02-06,544002.39,ail
AIL0000186,100-00-0369,LESLIE,WALTON,1970-09-15,F,TERM_20,ACTIVE,2023-09-10,49986.03,ail
AIL0000187,100-00-0372,CHARLES,ELLIS,1965-11-14,U,TERM_20,ACTIVE,2021-03-25,246082.90,ail
AIL0000188,100-00-0372,CHARLES,ELLIS,1965-11-14,U,ENDOWMENT,PENDING,2021-02-26,497663.26,ail
AIL0000189,100-00-0376,YOLANDA,FERRELL,1980-07-05,F,WHOLE_LIFE,LAPSED,2016-10-02,28390.68,ail
AIL0000190,100-00-0376,YOLANDA,FERRELL,1980-07-05,F,TERM_10,ACTIVE,2014-04-02,56850.89,ail
AIL0000191,100-00-0376,YOLANDA,FERRELL,1980-07-05,F,ENDOWMENT,CANCELLED,2016-05-05,237320.07,ail
AIL0000192,100-00-0379,CHARLES,LEWIS,1960-06-01,F,WHOLE_LIFE,ACTIVE,2005-05-09,25322.12,ail
AIL0000193,,CHARLES,LEWIS,1960-06-01,F,UNIVERSAL_LIFE,LAPSED,2011-03-01,595495.87,ail
AIL0000194,100-00-0380,JOSEPH,MAHONEY,1985-04-03,M,ENDOWMENT,ACTIVE,2007-05-27,25243.85,ail
AIL0000195,100-00-0380,JOSEPH,MAHONEY,1985-04-03,M,TERM_20,PENDING,2023-04-15,90692.99,ail
AIL0000196,100-00-0380,JOSEPH,MAHONEY,1985-04-03,M,TERM_20,ACTIVE,2015-04-19,448641.58,ail
AIL0000197,100-00-0385,NICOLE,SUAREZ,1984-02-12,M,ENDOWMENT,ACTIVE,2019-08-31,20935.01,ail
AIL0000198,100-00-0385,NICOLE,SUAREZ,1984-02-12,M,UNIVERSAL_LIFE,ACTIVE,2019-04-14,27028.45,ail
AIL0000199,100-00-0386,MIKE,MOORE,1971-11-24,M,TERM_10,ACTIVE,2024-03-30,28947.91,ail
AIL0000200,,MARTHA,WARNER,1999-07-07,M,WHOLE_LIFE,ACTIVE,2024-11-27,495100.06,ail
AIL0000201,,MARTHA,WARNER,1999-07-07,M,TERM_20,ACTIVE,2011-04-16,512701.97,ail
AIL0000202,100-00-0394,CHERYL,ARCHER,1976-07-29,F,ENDOWMENT,ACTIVE,2008-03-27,292887.49,ail
AIL0000203,100-00-0396,DESTINY,SMITH,1979-08-28,U,TERM_10,LAPSED,2013-09-23,466345.97,ail
AIL0000204,100-00-0396,DESTINY,SMITH,1979-08-28,U,WHOLE_LIFE,ACTIVE,2020-06-17,25007.93,ail
AIL0000205,100-00-0398,LISA,EVANS,1987-06-09,U,ENDOWMENT,ACTIVE,2006-09-15,104206.75,ail
AIL0000206,100-00-0401,ELIZABETH,MCMILLAN,1960-05-08,U,TERM_10,ACTIVE,2005-08-31,111341.93,ail
AIL0000207,100-00-0401,ELIZABETH,MCMILLAN,1960-05-08,U,UNIVERSAL_LIFE,ACTIVE,2013-06-03,218573.78,ail
AIL0000208,100-00-0406,DENNIS,WILSON,1973-06-06,U,TERM_10,ACTIVE,2022-11-25,54262.17,ail
AIL0000209,100-00-0406,DENNIS,WILSON,1973-06-06,U,WHOLE_LIFE,ACTIVE,2022-08-01,54793.11,ail
AIL0000210,100-00-0411,DANIEL,TRAN,1999-05-23,M,WHOLE_LIFE,ACTIVE,2014-12-23,110453.86,ail
